Date,Time,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur petite frite,valeur moyenne frite,valeur grande frite,valeur burger,valeur commande
09/02/2020,18:45,0,0,1,2,0,0,4,12,16
09/02/2020,18:45,0,1,0,2,0,3,0,12,15
09/02/2020,19:25,0,2,2,0,0,6,8,0,14
09/02/2020,19:30,0,2,0,1,0,6,0,6,12
09/02/2020,19:45,0,0,1,2,0,0,4,12,16
09/02/2020,21:10,0,2,0,2,0,6,0,12,18
09/02/2020,21:20,0,2,0,2,0,6,0,12,18
09/02/2020,,0,0,2,0,0,0,8,0,8
09/02/2020,,0,0,0,0,0,0,0,0,0
09/02/2020,,0,0,0,1,0,0,0,6,6
09/02/2020,,0,0,0,1,0,0,0,6,6
16/02/2020,19:00,0,4,0,4,0,12,0,24,36
16/02/2020,19:30,0,2,0,1,0,6,0,6,12
16/02/2020,19:45,0,2,0,2,0,6,0,12,18
16/02/2020,19:45,0,0,1,1,0,0,4,6,10
16/02/2020,20:00,0,0,2,0,0,0,8,0,8
16/02/2020,20:20,0,0,2,4,0,0,8,24,32
16/02/2020,,1,0,0,1,2,0,0,6,8
16/02/2020,,0,1,0,1,0,3,0,6,9
23/02/2020,18:30,0,0,1,3,0,0,4,18,22
23/02/2020,19:00,1,0,0,1,2,0,0,6,8
23/02/2020,19:20,0,1,0,2,0,3,0,12,15
23/02/2020,19:30,0,0,1,2,0,0,4,12,16
23/02/2020,19:45,0,0,3,5,0,0,12,30,42
23/02/2020,20:00,0,4,0,3,0,12,0,18,30
23/02/2020,20:20,0,0,2,4,0,0,8,24,32
23/02/2020,20:40,1,0,0,2,2,0,0,12,14
23/02/2020,20:40,0,0,1,3,0,0,4,18,22
23/02/2020,21:00,0,0,1,1,0,0,4,6,10
23/02/2020,,0,2,0,2,0,6,0,12,18
01/03/2020,19:40,0,2,0,2,0,6,0,12,18
01/03/2020,20:00,1,0,0,2,2,0,0,12,14
01/03/2020,20:30,0,0,1,2,0,0,4,12,16
01/03/2020,20:40,0,2,0,2,0,6,0,12,18
01/03/2020,21:00,0,5,0,5,0,15,0,30,45
01/03/2020,21:15,0,0,1,2,0,0,4,12,16
01/03/2020,,0,0,0,1,0,0,0,6,6
08/03/2020,19:00,0,1,0,2,0,3,0,12,15
08/03/2020,19:00,1,0,0,2,2,0,0,12,14
08/03/2020,19:15,0,0,2,5,0,0,8,30,38
08/03/2020,19:30,1,1,1,1,2,3,4,6,15
08/03/2020,19:40,0,1,2,3,0,3,8,18,29
08/03/2020,19:50,0,0,1,2,0,0,4,12,16
08/03/2020,20:10,0,2,0,4,0,6,0,24,30
08/03/2020,20:20,0,0,1,2,0,0,4,12,16
08/03/2020,20:30,0,0,2,4,0,0,8,24,32
08/03/2020,20:45,0,1,0,2,0,3,0,12,15
08/03/2020,20:45,0,2,0,2,0,6,0,12,18
08/03/2020,20:50,2,0,0,2,4,0,0,12,16
08/03/2020,21:00,0,1,0,2,0,3,0,12,15
08/03/2020,,0,0,1,0,0,0,4,0,4
08/03/2020,,0,0,1,1,0,0,4,6,10
17/05/2020,18:40,1,0,0,2,2,0,0,12,14
17/05/2020,19:15,0,1,1,1,0,3,4,6,13
17/05/2020,20:00,0,0,1,2,0,0,4,12,16
17/05/2020,20:15,0,1,2,6,0,3,8,36,47
17/05/2020,20:30,0,4,0,4,0,12,0,24,36
17/05/2020,20:45,0,1,0,3,0,3,0,18,21
17/05/2020,21:15,0,3,0,3,0,9,0,18,27
17/05/2020,,0,2,0,2,0,6,0,12,18
24/05/2020,19:15,0,0,1,2,0,0,4,12,16
24/05/2020,19:30,0,1,1,3,0,3,4,18,25
24/05/2020,19:45,1,0,0,3,2,0,0,18,20
24/05/2020,20:00,1,0,1,2,2,0,4,12,18
24/05/2020,20:00,0,0,1,1,0,0,4,6,10
24/05/2020,20:15,1,0,0,1,2,0,0,6,8
24/05/2020,,0,1,0,0,0,3,0,0,3
24/05/2020,,0,0,1,0,0,0,4,0,4
31/05/2020,19:00,0,1,2,0,0,3,8,0,11
31/05/2020,19:15,0,0,2,0,0,0,8,0,8
31/05/2020,19:30,0,1,2,3,0,3,8,18,29
31/05/2020,20:10,0,1,0,2,0,3,0,12,15
31/05/2020,20:30,1,0,0,3,2,0,0,18,20
31/05/2020,20:50,0,0,3,3,0,0,12,18,30
31/05/2020,21:15,0,1,0,2,0,3,0,12,15
31/05/2020,,0,0,1,0,0,0,4,0,4
31/05/2020,,0,0,1,0,0,0,4,0,4
31/05/2020,,0,2,0,0,0,6,0,0,6
14/06/2020,19:00,0,2,0,4,0,6,0,24,30
14/06/2020,19:25,0,2,0,5,0,6,0,30,36
14/06/2020,19:45,2,2,0,0,4,6,0,0,10
14/06/2020,20:20,0,3,0,3,0,9,0,18,27
14/06/2020,20:40,0,1,0,2,0,3,0,12,15
14/06/2020,20:50,0,1,0,3,0,3,0,18,21
14/06/2020,,0,1,1,2,0,3,4,12,19
14/06/2020,,0,0,0,1,0,0,0,6,6
21/06/2020,20:05,0,2,0,0,0,6,0,0,6
21/06/2020,20:35,0,1,3,5,0,3,12,30,45
21/06/2020,20:50,0,1,0,2,0,3,0,12,15
21/06/2020,21:05,0,2,0,3,0,6,0,18,24
21/06/2020,,0,1,0,4,0,3,0,24,27
05/02/2020,,1,0,0,0,2,0,0,0,2
05/02/2020,,0,0,2,0,0,0,8,0,8
05/02/2020,,1,0,0,0,2,0,0,0,2
05/02/2020,,1,0,0,2,2,0,0,12,14
05/02/2020,,0,0,2,0,0,0,8,0,8
05/02/2020,,1,2,0,3,2,6,0,18,26
05/02/2020,,1,0,0,0,2,0,0,0,2
05/02/2020,,1,0,0,0,2,0,0,0,2
05/02/2020,,0,1,0,0,0,3,0,0,3
05/02/2020,,0,1,0,0,0,3,0,0,3
12/02/2020,11:15,0,1,0,1,0,3,0,6,9
12/02/2020,12:05,0,0,1,1,0,0,4,6,10
12/02/2020,12:15,2,1,0,2,4,3,0,12,19
12/02/2020,12:30,0,0,1,0,0,0,4,0,4
12/02/2020,12:45,1,0,0,1,2,0,0,6,8
12/02/2020,,1,0,0,0,2,0,0,0,2
12/02/2020,,0,0,1,0,0,0,4,0,4
12/02/2020,,0,0,0,1,0,0,0,6,6
12/02/2020,,0,1,0,0,0,3,0,0,3
12/02/2020,,0,1,1,0,0,3,4,0,7
12/02/2020,,0,1,0,0,0,3,0,0,3
12/02/2020,,0,0,1,1,0,0,4,6,10
12/02/2020,,3,0,0,3,6,0,0,18,24
12/02/2020,,0,1,0,1,0,3,0,6,9
19/02/2020,11:30,1,1,0,2,2,3,0,12,17
19/02/2020,,0,1,0,0,0,3,0,0,3
19/02/2020,,1,0,0,0,2,0,0,0,2
19/02/2020,,0,1,0,0,0,3,0,0,3
19/02/2020,,0,0,1,0,0,0,4,0,4
19/02/2020,,0,1,1,0,0,3,4,0,7
19/02/2020,,0,1,0,0,0,3,0,0,3
19/02/2020,,0,1,0,0,0,3,0,0,3
04/03/2020,,1,0,1,4,2,0,4,24,30
04/03/2020,,1,0,0,0,2,0,0,0,2
04/03/2020,,1,0,0,0,2,0,0,0,2
04/03/2020,,0,1,0,0,0,3,0,0,3
04/03/2020,,0,0,4,0,0,0,16,0,16
04/03/2020,,0,0,0,1,0,0,0,6,6
04/03/2020,,0,0,1,2,0,0,4,12,16
11/03/2020,11:20,1,0,1,0,2,0,4,0,6
11/03/2020,11:45,1,0,0,2,2,0,0,12,14
11/03/2020,11:45,3,1,0,0,6,3,0,0,9
11/03/2020,11:45,1,0,0,0,2,0,0,0,2
11/03/2020,11:45,4,0,0,0,8,0,0,0,8
11/03/2020,11:50,1,1,0,2,2,3,0,12,17
11/03/2020,12:00,0,0,0,1,0,0,0,6,6
11/03/2020,,1,0,0,0,2,0,0,0,2
11/03/2020,,0,1,0,0,0,3,0,0,3
11/03/2020,,1,0,0,0,2,0,0,0,2
11/03/2020,,0,0,0,0,0,0,0,0,0
11/03/2020,,1,0,0,0,2,0,0,0,2
11/03/2020,,0,1,0,0,0,3,0,0,3
11/03/2020,,0,1,0,0,0,3,0,0,3
11/03/2020,,0,1,0,0,0,3,0,0,3
11/03/2020,,1,0,0,1,2,0,0,6,8
11/03/2020,,0,0,1,0,0,0,4,0,4
11/03/2020,,0,1,0,0,0,3,0,0,3
11/03/2020,,1,0,0,0,2,0,0,0,2
11/03/2020,,0,0,1,0,0,0,4,0,4
11/03/2020,,0,0,2,0,0,0,8,0,8
11/03/2020,,0,0,0,1,0,0,0,6,6
11/03/2020,,0,0,0,2,0,0,0,12,12
11/03/2020,,1,0,0,0,2,0,0,0,2
21/11/2019,,2,0,0,0,4,0,0,0,4
21/11/2019,,0,0,1,1,0,0,4,6,10
21/11/2019,,2,0,0,0,4,0,0,0,4
21/11/2019,,0,1,0,0,0,3,0,0,3
21/11/2019,,1,0,1,2,2,0,4,12,18
21/11/2019,,0,0,2,0,0,0,8,0,8
21/11/2019,,0,1,0,1,0,3,0,6,9
28/11/2019,,2,0,0,1,4,0,0,6,10
28/11/2019,,1,0,0,0,2,0,0,0,2
28/11/2019,,1,0,0,0,2,0,0,0,2
28/11/2019,,0,1,0,0,0,3,0,0,3
28/11/2019,,0,6,0,8,0,18,0,48,66
28/11/2019,,2,0,0,0,4,0,0,0,4
28/11/2019,,0,1,0,0,0,3,0,0,3
28/11/2019,,0,0,1,0,0,0,4,0,4
28/11/2019,,0,0,3,0,0,0,12,0,12
28/11/2019,,1,0,0,0,2,0,0,0,2
28/11/2019,,0,1,0,1,0,3,0,6,9
05/12/2019,,0,0,1,0,0,0,4,0,4
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,1,0,0,0,2,0,0,0,2
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,0,0,1,2,0,0,4,12,16
05/12/2019,,0,0,1,0,0,0,4,0,4
05/12/2019,,0,0,0,1,0,0,0,6,6
05/12/2019,,0,0,1,1,0,0,4,6,10
05/12/2019,,0,0,1,2,0,0,4,12,16
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,0,0,0,1,0,0,0,6,6
12/12/2019,12:00,0,2,0,0,0,6,0,0,6
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,0,1,0,0,0,4,0,4
12/12/2019,,1,0,0,0,2,0,0,0,2
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,2,0,2,0,6,0,12,18
12/12/2019,,1,0,0,0,2,0,0,0,2
12/12/2019,,0,0,2,2,0,0,8,12,20
12/12/2019,,0,4,0,4,0,12,0,24,36
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,1,0,0,1,2,0,0,6,8
19/12/2019,12:15,0,2,0,2,0,6,0,12,18
19/12/2019,,1,0,0,0,2,0,0,0,2
19/12/2019,,1,0,0,0,2,0,0,0,2
19/12/2019,,0,0,0,1,0,0,0,6,6
19/12/2019,,0,0,1,0,0,0,4,0,4
19/12/2019,,0,0,2,2,0,0,8,12,20
19/12/2019,,0,4,0,0,0,12,0,0,12
19/12/2019,,0,1,0,1,0,3,0,6,9
19/12/2019,,1,1,0,0,2,3,0,0,5
19/12/2019,,0,0,2,0,0,0,8,0,8
19/12/2019,,0,0,0,2,0,0,0,12,12
26/12/2019,12:00,0,3,0,3,0,9,0,18,27
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,0,0,2,0,0,0,8,0,8
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,0,1,2,0,0,3,8,0,11
26/12/2019,,0,1,0,0,0,3,0,0,3
26/12/2019,,0,1,0,0,0,3,0,0,3
26/12/2019,,2,0,0,0,4,0,0,0,4
26/12/2019,,0,2,0,2,0,6,0,12,18
09/01/2020,11:15,0,1,0,0,0,3,0,0,3
09/01/2020,11:35,0,0,1,0,0,0,4,0,4
09/01/2020,12:05,1,0,0,1,2,0,0,6,8
09/01/2020,12:15,2,0,0,4,4,0,0,24,28
09/01/2020,,1,0,0,0,2,0,0,0,2
09/01/2020,,0,2,0,0,0,6,0,0,6
09/01/2020,,0,1,0,0,0,3,0,0,3
09/01/2020,,0,2,0,2,0,6,0,12,18
09/01/2020,,0,1,0,2,0,3,0,12,15
09/01/2020,,0,0,1,3,0,0,4,18,22
09/01/2020,,0,0,0,1,0,0,0,6,6
16/01/2020,11:45,0,0,1,1,0,0,4,6,10
16/01/2020,12:00,0,1,0,1,0,3,0,6,9
16/01/2020,12:00,0,1,1,0,0,3,4,0,7
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,0,0,3,0,0,0,12,0,12
16/01/2020,,0,0,1,3,0,0,4,18,22
16/01/2020,,0,2,0,2,0,6,0,12,18
23/01/2020,11:40,2,0,0,2,4,0,0,12,16
23/01/2020,11:45,0,4,0,4,0,12,0,24,36
23/01/2020,12:00,0,1,0,0,0,3,0,0,3
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,0,0,1,0,0,0,6,6
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,1,0,0,0,3,0,0,3
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,0,1,2,0,0,4,12,16
30/01/2020,11:00,0,3,0,0,0,9,0,0,9
30/01/2020,11:15,0,0,1,0,0,0,4,0,4
30/01/2020,11:45,0,0,2,0,0,0,8,0,8
30/01/2020,11:45,0,4,0,4,0,12,0,24,36
30/01/2020,,0,0,2,1,0,0,8,6,14
30/01/2020,,0,0,0,1,0,0,0,6,6
30/01/2020,,0,0,1,0,0,0,4,0,4
30/01/2020,,1,0,0,0,2,0,0,0,2
30/01/2020,,0,0,1,0,0,0,4,0,4
30/01/2020,,0,1,0,1,0,3,0,6,9
06/02/2020,10:55,0,0,1,0,0,0,4,0,4
06/02/2020,11:55,1,1,0,2,2,3,0,12,17
06/02/2020,12:20,0,0,2,4,0,0,8,24,32
06/02/2020,12:40,0,3,0,3,0,9,0,18,27
06/02/2020,,1,0,0,0,2,0,0,0,2
06/02/2020,,0,1,0,0,0,3,0,0,3
06/02/2020,,0,1,0,0,0,3,0,0,3
06/02/2020,,0,2,0,2,0,6,0,12,18
13/02/2020,12:00,0,2,0,2,0,6,0,12,18
13/02/2020,12:00,0,0,1,2,0,0,4,12,16
13/02/2020,12:10,1,0,0,1,2,0,0,6,8
13/02/2020,,0,0,0,1,0,0,0,6,6
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,0,1,4,0,0,4,24,28
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,0,0,2,0,0,0,8,0,8
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,0,1,0,0,0,4,0,4
13/02/2020,,1,0,0,0,2,0,0,0,2
20/02/2020,11:30,0,1,0,1,0,3,0,6,9
20/02/2020,11:40,2,1,0,3,4,3,0,18,25
20/02/2020,,0,1,0,0,0,3,0,0,3
20/02/2020,,0,0,1,1,0,0,4,6,10
20/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,0,0,1,0,0,0,6,6
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,1,0,0,0,3,0,0,3
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,3,0,0,0,9,0,0,9
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,0,2,3,0,0,8,18,26
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,1,0,0,0,3,0,0,3
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,2,0,2,0,6,0,12,18
05/03/2020,,0,1,0,1,0,3,0,6,9
05/03/2020,,0,0,1,3,0,0,4,18,22
05/03/2020,,0,1,0,0,0,3,0,0,3
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,0,0,1,0,0,0,6,6
14/05/2020,12:00,0,2,0,2,0,6,0,12,18
14/05/2020,12:00,0,0,3,0,0,0,12,0,12
14/05/2020,12:15,0,2,0,2,0,6,0,12,18
14/05/2020,12:30,0,1,0,4,0,3,0,24,27
14/05/2020,12:45,0,2,0,2,0,6,0,12,18
14/05/2020,,1,0,0,0,2,0,0,0,2
14/05/2020,,0,0,0,1,0,0,0,6,6
14/05/2020,,0,2,0,1,0,6,0,6,12
14/05/2020,,0,0,2,0,0,0,8,0,8
21/05/2020,11:20,0,0,1,2,0,0,4,12,16
21/05/2020,11:30,0,0,1,0,0,0,4,0,4
21/05/2020,11:30,3,0,0,0,6,0,0,0,6
21/05/2020,12:00,0,0,1,0,0,0,4,0,4
21/05/2020,12:00,0,0,2,2,0,0,8,12,20
21/05/2020,12:05,0,0,1,2,0,0,4,12,16
21/05/2020,12:17,0,2,0,3,0,6,0,18,24
21/05/2020,12:45,0,0,2,0,0,0,8,0,8
21/05/2020,,1,0,0,0,2,0,0,0,2
28/05/2020,12:00,2,0,0,3,4,0,0,18,22
28/05/2020,12:15,1,0,0,1,2,0,0,6,8
28/05/2020,12:30,0,0,1,1,0,0,4,6,10
28/05/2020,12:45,0,0,1,4,0,0,4,24,28
28/05/2020,13:00,0,0,3,3,0,0,12,18,30
28/05/2020,,0,1,0,0,0,3,0,0,3
28/05/2020,,0,1,1,0,0,3,4,0,7
28/05/2020,,0,1,0,0,0,3,0,0,3
04/06/2020,11:25,0,1,0,2,0,3,0,12,15
04/06/2020,12:00,0,0,1,0,0,0,4,0,4
04/06/2020,12:30,3,0,3,4,6,0,12,24,42
04/06/2020,12:35,0,0,1,0,0,0,4,0,4
